,SampleID,Tissue,Factor,Condition,bamReads,ControlID,bamControl,PeakCaller,Peaks
42,diff_25_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,diff_25_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,H3K27ac,diff_25_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,NA,diff_25_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,NA,bed,diff_25_AF_RA_vs_27_SR_RA_c2.0_cond1.bed
43,diff_25_AF_RA_vs_33_SR_RA_c2.0_cond1.bed,diff_25_AF_RA_vs_33_SR_RA_c2.0_cond1.bed,H3K27ac,diff_25_AF_RA_vs_33_SR_RA_c2.0_cond1.bed,NA,diff_25_AF_RA_vs_33_SR_RA_c2.0_cond1.bed,NA,bed,diff_25_AF_RA_vs_33_SR_RA_c2.0_cond1.bed
44,diff_25_AF_RA_vs_45_SR_LA_c2.0_cond1.bed,diff_25_AF_RA_vs_45_SR_LA_c2.0_cond1.bed,H3K27ac,diff_25_AF_RA_vs_45_SR_LA_c2.0_cond1.bed,NA,diff_25_AF_RA_vs_45_SR_LA_c2.0_cond1.bed,NA,bed,diff_25_AF_RA_vs_45_SR_LA_c2.0_cond1.bed
45,diff_27_SR_RA_vs_2231_AF_LA_c2.0_cond2.bed,diff_27_SR_RA_vs_2231_AF_LA_c2.0_cond2.bed,H3K27ac,diff_27_SR_RA_vs_2231_AF_LA_c2.0_cond2.bed,NA,diff_27_SR_RA_vs_2231_AF_LA_c2.0_cond2.bed,NA,bed,diff_27_SR_RA_vs_2231_AF_LA_c2.0_cond2.bed
46,diff_27_SR_RA_vs_25_AF_LA_c2.0_cond2.bed,diff_27_SR_RA_vs_25_AF_LA_c2.0_cond2.bed,H3K27ac,diff_27_SR_RA_vs_25_AF_LA_c2.0_cond2.bed,NA,diff_27_SR_RA_vs_25_AF_LA_c2.0_cond2.bed,NA,bed,diff_27_SR_RA_vs_25_AF_LA_c2.0_cond2.bed
47,diff_27_SR_RA_vs_28_AF_LA_c2.0_cond2.bed,diff_27_SR_RA_vs_28_AF_LA_c2.0_cond2.bed,H3K27ac,diff_27_SR_RA_vs_28_AF_LA_c2.0_cond2.bed,NA,diff_27_SR_RA_vs_28_AF_LA_c2.0_cond2.bed,NA,bed,diff_27_SR_RA_vs_28_AF_LA_c2.0_cond2.bed
48,diff_27_SR_RA_vs_31_AF_LA_c2.0_cond2.bed,diff_27_SR_RA_vs_31_AF_LA_c2.0_cond2.bed,H3K27ac,diff_27_SR_RA_vs_31_AF_LA_c2.0_cond2.bed,NA,diff_27_SR_RA_vs_31_AF_LA_c2.0_cond2.bed,NA,bed,diff_27_SR_RA_vs_31_AF_LA_c2.0_cond2.bed
49,diff_27_SR_RA_vs_313_AF_LA_c2.0_cond2.bed,diff_27_SR_RA_vs_313_AF_LA_c2.0_cond2.bed,H3K27ac,diff_27_SR_RA_vs_313_AF_LA_c2.0_cond2.bed,NA,diff_27_SR_RA_vs_313_AF_LA_c2.0_cond2.bed,NA,bed,diff_27_SR_RA_vs_313_AF_LA_c2.0_cond2.bed
50,diff_27_SR_RA_vs_47_AF_LA_c2.0_cond2.bed,diff_27_SR_RA_vs_47_AF_LA_c2.0_cond2.bed,H3K27ac,diff_27_SR_RA_vs_47_AF_LA_c2.0_cond2.bed,NA,diff_27_SR_RA_vs_47_AF_LA_c2.0_cond2.bed,NA,bed,diff_27_SR_RA_vs_47_AF_LA_c2.0_cond2.bed
51,diff_28_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,diff_28_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,H3K27ac,diff_28_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,NA,diff_28_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,NA,bed,diff_28_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed
52,diff_28_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,diff_28_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,H3K27ac,diff_28_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,NA,diff_28_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,NA,bed,diff_28_AF_LA_vs_20_SR_LA_c2.0_cond1.bed
53,diff_28_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,diff_28_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,H3K27ac,diff_28_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,NA,diff_28_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,NA,bed,diff_28_AF_LA_vs_27_SR_LA_c2.0_cond1.bed
54,diff_28_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,diff_28_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,H3K27ac,diff_28_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,NA,diff_28_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,NA,bed,diff_28_AF_LA_vs_45_SR_LA_c2.0_cond1.bed
55,diff_28_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,diff_28_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,H3K27ac,diff_28_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,NA,diff_28_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,NA,bed,diff_28_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed
56,diff_28_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,diff_28_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,H3K27ac,diff_28_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,NA,diff_28_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,NA,bed,diff_28_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed
57,diff_28_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,diff_28_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,H3K27ac,diff_28_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,NA,diff_28_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,NA,bed,diff_28_AF_RA_vs_20_SR_LA_c2.0_cond1.bed
58,diff_28_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,diff_28_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,H3K27ac,diff_28_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,NA,diff_28_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,NA,bed,diff_28_AF_RA_vs_20_SR_RA_c2.0_cond1.bed
59,diff_28_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,diff_28_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,H3K27ac,diff_28_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,NA,diff_28_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,NA,bed,diff_28_AF_RA_vs_27_SR_LA_c2.0_cond1.bed
60,diff_28_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,diff_28_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,H3K27ac,diff_28_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,NA,diff_28_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,NA,bed,diff_28_AF_RA_vs_27_SR_RA_c2.0_cond1.bed
61,diff_28_AF_RA_vs_33_SR_RA_c2.0_cond1.bed,diff_28_AF_RA_vs_33_SR_RA_c2.0_cond1.bed,H3K27ac,diff_28_AF_RA_vs_33_SR_RA_c2.0_cond1.bed,NA,diff_28_AF_RA_vs_33_SR_RA_c2.0_cond1.bed,NA,bed,diff_28_AF_RA_vs_33_SR_RA_c2.0_cond1.bed
62,diff_28_AF_RA_vs_45_SR_LA_c2.0_cond1.bed,diff_28_AF_RA_vs_45_SR_LA_c2.0_cond1.bed,H3K27ac,diff_28_AF_RA_vs_45_SR_LA_c2.0_cond1.bed,NA,diff_28_AF_RA_vs_45_SR_LA_c2.0_cond1.bed,NA,bed,diff_28_AF_RA_vs_45_SR_LA_c2.0_cond1.bed
63,diff_31_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,diff_31_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,H3K27ac,diff_31_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,NA,diff_31_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed,NA,bed,diff_31_AF_LA_vs_12b_SR_LA_c2.0_cond1.bed
64,diff_31_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,diff_31_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,H3K27ac,diff_31_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,NA,diff_31_AF_LA_vs_20_SR_LA_c2.0_cond1.bed,NA,bed,diff_31_AF_LA_vs_20_SR_LA_c2.0_cond1.bed
65,diff_31_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,diff_31_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,H3K27ac,diff_31_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,NA,diff_31_AF_LA_vs_27_SR_LA_c2.0_cond1.bed,NA,bed,diff_31_AF_LA_vs_27_SR_LA_c2.0_cond1.bed
66,diff_31_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,diff_31_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,H3K27ac,diff_31_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,NA,diff_31_AF_LA_vs_45_SR_LA_c2.0_cond1.bed,NA,bed,diff_31_AF_LA_vs_45_SR_LA_c2.0_cond1.bed
67,diff_31_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,diff_31_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,H3K27ac,diff_31_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,NA,diff_31_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed,NA,bed,diff_31_AF_RA_vs_12b_SR_LA_c2.0_cond1.bed
68,diff_31_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,diff_31_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,H3K27ac,diff_31_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,NA,diff_31_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed,NA,bed,diff_31_AF_RA_vs_12b_SR_RA_c2.0_cond1.bed
69,diff_31_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,diff_31_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,H3K27ac,diff_31_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,NA,diff_31_AF_RA_vs_20_SR_LA_c2.0_cond1.bed,NA,bed,diff_31_AF_RA_vs_20_SR_LA_c2.0_cond1.bed
70,diff_31_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,diff_31_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,H3K27ac,diff_31_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,NA,diff_31_AF_RA_vs_20_SR_RA_c2.0_cond1.bed,NA,bed,diff_31_AF_RA_vs_20_SR_RA_c2.0_cond1.bed
71,diff_31_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,diff_31_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,H3K27ac,diff_31_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,NA,diff_31_AF_RA_vs_27_SR_LA_c2.0_cond1.bed,NA,bed,diff_31_AF_RA_vs_27_SR_LA_c2.0_cond1.bed
72,diff_31_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,diff_31_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,H3K27ac,diff_31_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,NA,diff_31_AF_RA_vs_27_SR_RA_c2.0_cond1.bed,NA,bed,diff_31_AF_RA_vs_27_SR_RA_c2.0_cond1.bed
